TaskID,任务类型,源区域,目标区域,到达小时,开工小时,完成小时,等待_h,时延_ms,是否迁移
49028,AITraining,RegionD,RegionF,2074,2074,2076.5833333333335,0.0,25.0,True
49029,BatchInference,RegionD,RegionF,1599,1606,1607.3833333333334,7.0,25.0,True
49030,AITraining,RegionE,RegionE,2127,2127,2132.6833333333334,0.0,5.0,False
49031,BatchInference,RegionF,RegionD,2083,2083,2083.5666666666666,0.0,25.0,True
49032,BatchInference,RegionA,RegionE,1873,1873,1876.6833333333334,0.0,78.0,True
49033,BatchInference,RegionB,RegionD,123,123,128.4,0.0,60.0,True
49034,BatchInference,RegionB,RegionD,71,71,75.31666666666666,0.0,60.0,True
49035,AITraining,RegionE,RegionA,1319,1382,1382.95,63.0,78.0,True
49036,BatchInference,RegionD,RegionB,1489,1504,1504.5833333333333,15.0,60.0,True
49037,AITraining,RegionF,RegionD,2357,2357,2358.516666666667,0.0,25.0,True
49038,BatchInference,RegionF,RegionF,1476,1479,1480.9666666666667,3.0,5.0,False
49039,AITraining,RegionC,RegionA,806,806,808.45,0.0,15.0,True
49040,AITraining,RegionD,RegionD,668,670,670.55,2.0,5.0,False
49041,AITraining,RegionD,RegionD,338,338,343.7,0.0,5.0,False
49042,AITraining,RegionE,RegionF,2164,2176,2178.233333333333,12.0,18.0,True
49043,AITraining,RegionE,RegionF,438,473,475.6333333333333,35.0,18.0,True
49044,AITraining,RegionF,RegionD,1040,1040,1045.3666666666666,0.0,25.0,True
49045,RealTimeInference,RegionA,RegionA,1408,1408,1409.0666666666666,0.0,5.0,False
49046,BatchInference,RegionA,RegionD,2051,2051,2054.633333333333,0.0,65.0,True
49047,BatchInference,RegionB,RegionA,1694,1694,1700.3166666666666,0.0,12.0,True
49048,AITraining,RegionD,RegionE,1466,1506,1506.5666666666666,40.0,22.0,True
49049,RealTimeInference,RegionB,RegionC,2377,2377,2378.633333333333,0.0,14.0,True
49050,RealTimeInference,RegionC,RegionA,2188,2188,2193.5333333333333,0.0,15.0,True
49051,AITraining,RegionF,RegionB,799,799,800.5833333333334,0.0,79.0,True
49052,BatchInference,RegionA,RegionE,2139,2178,2180.45,39.0,78.0,True
49053,RealTimeInference,RegionA,RegionA,1496,1496,1498.2333333333333,0.0,5.0,False
49054,AITraining,RegionD,RegionF,808,808,812.5833333333334,0.0,25.0,True
49055,RealTimeInference,RegionB,RegionA,1818,1818,1822.7,0.0,12.0,True
49056,BatchInference,RegionD,RegionE,2231,2231,2235.95,0.0,22.0,True
49057,RealTimeInference,RegionC,RegionC,6,6,11.183333333333334,0.0,5.0,False
49058,BatchInference,RegionA,RegionD,1028,1031,1031.9166666666667,3.0,65.0,True
