X_时间（h）,Y_E0净电网交互功率（MW）,Y_E1净电网交互功率（MW）
360,-321.0468004133,-620.0000000000
361,-313.0639000000,-620.0000000000
362,-444.9025008432,-620.0000000000
363,-577.9623995767,-620.0000000000
364,-601.6612004166,-620.0000000000
365,-620.0000000000,-620.0000000000
366,-620.0000000000,-620.0000000000
367,-620.0000000000,-620.0000000000
368,-620.0000000000,-620.0000000000
369,-620.0000000000,-620.0000000000
370,-620.0000000000,-620.0000000000
371,-620.0000000000,-620.0000000000
372,-620.0000000000,-620.0000000000
373,-620.0000000000,-620.0000000000
374,-620.0000000000,-620.0000000000
375,-620.0000000000,-620.0000000000
376,-620.0000000000,-620.0000000000
377,-620.0000000000,-620.0000000000
378,-620.0000000000,-620.0000000000
379,-620.0000000000,-620.0000000000
380,-586.8469008399,-620.0000000000
381,-544.4437008399,-620.0000000000
382,-464.6777004333,-620.0000000000
383,-382.1229991568,-620.0000000000
384,-266.4121004233,-620.0000000000
385,-276.5655008432,-620.0000000000
386,-350.7016000033,-620.0000000000
387,-522.7312004166,-620.0000000000
388,-595.6450995767,-620.0000000000
389,-620.0000000000,-620.0000000000
390,-620.0000000000,-620.0000000000
391,-620.0000000000,-620.0000000000
392,-620.0000000000,-620.0000000000
393,-620.0000000000,-620.0000000000
394,-620.0000000000,-620.0000000000
395,-620.0000000000,-620.0000000000
396,-620.0000000000,-620.0000000000
397,-620.0000000000,-620.0000000000
398,-620.0000000000,-620.0000000000
399,-620.0000000000,-620.0000000000
400,-620.0000000000,-620.0000000000
401,-620.0000000000,-620.0000000000
402,-620.0000000000,-620.0000000000
403,-620.0000000000,-620.0000000000
404,-620.0000000000,-620.0000000000
405,-436.1315000067,-620.0000000000
406,-384.7886991601,-620.0000000000
407,-305.2742995767,-620.0000000000
408,-320.7718999967,-620.0000000000
409,-350.6537995734,-620.0000000000
410,-318.8833004166,-620.0000000000
411,-485.3738004233,-597.3585004233
412,-599.4374995834,-620.0000000000
413,-620.0000000000,-620.0000000000
414,-620.0000000000,-620.0000000000
415,-620.0000000000,-620.0000000000
416,-620.0000000000,-620.0000000000
417,-620.0000000000,-620.0000000000
418,-620.0000000000,-620.0000000000
419,-620.0000000000,-620.0000000000
420,-620.0000000000,-620.0000000000
421,-620.0000000000,-620.0000000000
422,-620.0000000000,-620.0000000000
423,-620.0000000000,-620.0000000000
424,-620.0000000000,-620.0000000000
425,-620.0000000000,-620.0000000000
426,-620.0000000000,-620.0000000000
427,-620.0000000000,-620.0000000000
