X_滞后时间_小时,Y_自相关系数_无量纲,Y_零参考线_无量纲,标签_关键滞后
109,0.006075064984832635,0.0,
110,0.008226753268222795,0.0,
111,0.03859304063508362,0.0,
112,-0.00617532313235382,0.0,
113,-0.00034567735658251353,0.0,
114,-0.007604769715048005,0.0,
115,-0.028448765524969784,0.0,
116,0.01312983003725625,0.0,
117,-0.03478404724306632,0.0,
118,-0.0210571420365887,0.0,
119,-0.006630523848429609,0.0,
120,0.020235918633731413,0.0,
121,0.017238991028953172,0.0,
122,0.015957350505426588,0.0,
123,-0.01610353854728556,0.0,
124,0.010400978233714492,0.0,
125,-0.011741269802858516,0.0,
126,-0.01787163313599869,0.0,
127,-0.025243908010377375,0.0,
128,-0.001905109846967483,0.0,
129,-0.014785007092960399,0.0,
130,-0.02788389854182223,0.0,
131,-0.014350725722695648,0.0,
132,0.018376993776363825,0.0,
133,0.004968600199018755,0.0,
134,0.012970601406761727,0.0,
135,0.004759178317386969,0.0,
136,0.005415523113277007,0.0,
137,-0.001284504107439691,0.0,
138,-0.003312161780580328,0.0,
139,-0.00014089873383433274,0.0,
140,0.0024182196143271136,0.0,
141,0.013115039371963082,0.0,
142,-0.007072070819402959,0.0,
143,0.016031108643128213,0.0,
144,-0.0247515145473867,0.0,
145,-0.01666654369842592,0.0,
146,-0.06207191397882165,0.0,
147,-0.023293776546809388,0.0,
148,-0.02562094240696565,0.0,
149,0.005401138745114071,0.0,
150,0.025113577845295006,0.0,
151,-0.011376984108995795,0.0,
152,-0.024257596897566243,0.0,
153,0.03567127798740849,0.0,
154,0.007749705652387057,0.0,
155,0.024836614523336846,0.0,
156,0.02911709080557372,0.0,
157,0.000453115453536668,0.0,
158,0.014195823600617661,0.0,
159,0.017794007787623516,0.0,
160,0.023250406071730356,0.0,
161,-0.04676917689749595,0.0,
162,-0.0003897869879605448,0.0,
163,0.0377898199149501,0.0,
164,-0.00673965072774208,0.0,
165,-0.023001212207458006,0.0,
166,-0.0029830302686782036,0.0,
167,-0.008463927014850799,0.0,
168,0.03355078939822889,0.0,lag 168
