X_时间_小时,Y_区域序号_无量纲,Z_GPU利用率_百分比,标签_区域
2388,5,55.53359683794484,RegionE
2389,5,53.741765480898266,RegionE
2390,5,97.78656126482464,RegionE
2391,5,98.18675889328037,RegionE
2392,5,87.29413702239661,RegionE
2393,5,67.71574440052764,RegionE
2394,5,80.2997364953905,RegionE
2395,5,90.67523056654183,RegionE
2396,5,66.81159420289936,RegionE
2397,5,68.44861660078843,RegionE
2398,5,65.03623188405598,RegionE
2399,5,56.83465085639024,RegionE
2400,5,42.89525691699599,RegionE
2401,5,36.432806324110295,RegionE
2402,5,29.889657444005923,RegionE
2403,5,25.5418313570494,RegionE
2404,5,11.928524374179158,RegionE
2405,5,1.704545454546488,RegionE
2376,6,14.596273291925465,RegionF
2377,6,46.81849551414729,RegionF
2378,6,76.29399585921325,RegionF
2379,6,84.14768806073005,RegionF
2380,6,95.56418219461717,RegionF
2381,6,93.90786749482407,RegionF
2382,6,61.14561766735852,RegionF
2383,6,43.55762594893451,RegionF
2384,6,39.37888198757591,RegionF
2385,6,68.69565217391327,RegionF
2386,6,78.5093167701861,RegionF
2387,6,87.27570738440295,RegionF
2388,6,99.01656314699392,RegionF
2389,6,65.90407177363778,RegionF
2390,6,62.993443754314,RegionF
2391,6,67.83816425120759,RegionF
2392,6,84.05624568667392,RegionF
2393,6,56.26984126984352,RegionF
2394,6,70.53312629399471,RegionF
2395,6,64.39958592132429,RegionF
2396,6,67.55693581780486,RegionF
2397,6,68.06418219461689,RegionF
2398,6,74.77225672877901,RegionF
2399,6,82.324016563146,RegionF
2400,6,60.41580400276185,RegionF
2401,6,38.36956521739023,RegionF
2402,6,18.77846790890228,RegionF
2403,6,6.3146997929606625,RegionF
2404,6,0.0,RegionF
2405,6,0.0,RegionF
