阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟
Latency阶段,32,added_benders_cut,78374,40,1331425.9908370867,-459274946.5718018,-459233740.1910876,41206.380714178085,0,nan,False,,,0.35395050048828125,5.827087314923604
Latency阶段,33,added_benders_cut,78374,41,1331427.204201252,-459274946.5718018,-459235742.0312255,39204.54057627916,0,nan,False,,,0.3516387939453125,5.97360299428304
Latency阶段,34,added_benders_cut,78374,42,1331428.19401501,-459274946.5718018,-459225121.2408298,49825.33097195625,0,nan,False,,,0.3515739440917969,6.121833284695943
Latency阶段,35,added_benders_cut,78374,43,1331429.5245557148,-459274946.5718018,-459220029.7351607,54916.83664107323,0,nan,False,,,0.35237884521484375,6.274270629882812
Latency阶段,36,added_benders_cut,78374,44,1331430.7861304525,-459274946.5718018,-459232329.2561644,42617.31563740969,0,nan,False,,,0.35491180419921875,6.42839423418045
Latency阶段,37,added_benders_cut,78374,45,1331431.7048713104,-459274946.5718018,-459247637.6286168,27308.94318497181,0,nan,False,,,0.3492546081542969,6.586193207899729
Latency阶段,38,added_benders_cut,78374,46,1331432.1622314127,-459274946.5718018,-459265778.99045795,9167.581343829632,0,nan,False,,,0.3509864807128906,6.747746666272481
Latency阶段,39,added_benders_cut,78374,47,1331432.3987889031,-459274946.5718018,-459264385.9787454,10560.593056380749,0,nan,False,,,0.3504600524902344,6.911415755748749
Latency阶段,40,added_benders_cut,78374,48,1331432.418680447,-459274946.5718018,-459262719.9016354,12226.670166373253,0,nan,False,,,0.3505859375,7.076861147085825
Latency阶段,41,added_benders_cut,78374,49,1331432.4735877279,-459274946.5718018,-459264593.26156956,10353.31023222208,0,nan,False,,,0.3495216369628906,7.245472971598307
Latency阶段,42,added_benders_cut,78374,50,1331432.7470277823,-459274946.5718018,-459268250.8191408,6695.752660989761,0,nan,False,,,0.3536949157714844,7.417014710108439
Latency阶段,43,added_benders_cut,78374,51,1331433.0574099643,-459274946.5718018,-459265705.46439475,9241.107407033443,0,nan,False,,,0.3516654968261719,7.591507291793823
Latency阶段,44,added_benders_cut,78374,52,1331433.34696059,-459274946.5718018,-459268469.0567617,6477.515040099621,0,nan,False,,,0.3535957336425781,7.768460766474406
Latency阶段,45,added_benders_cut,78374,53,1331433.4843019857,-459274946.5718018,-459268842.0783844,6104.49341738224,0,nan,False,,,0.3548088073730469,7.94754076798757
Latency阶段,46,added_benders_cut,78374,54,1331433.5711092555,-459274946.5718018,-459264908.41460925,10038.157192528248,0,nan,False,,,0.3523063659667969,8.131810971101125
Latency阶段,47,added_benders_cut,78374,55,1331433.7584921923,-459274946.5718018,-459268628.2448055,6318.326996266842,0,nan,False,,,0.3525810241699219,8.317971328894297
Latency阶段,48,added_benders_cut,78374,56,1331433.8148310503,-459274946.5718018,-459271118.1154808,3828.456321001053,0,nan,False,,,0.3521690368652344,8.506320722897847
Latency阶段,49,added_benders_cut,78374,57,1331433.8392779615,-459274946.5718018,-459269372.1329283,5574.43887346983,0,nan,False,,,0.35349273681640625,8.696863238016764
Latency阶段,50,added_benders_cut,78374,58,1331433.877994143,-459274946.5718018,-459271727.36654955,3219.2052522301674,0,nan,False,,,0.3534584045410156,8.890623064835866
Latency阶段,51,added_benders_cut,78374,59,1331433.935485698,-459274946.5718018,-459270956.2732798,3990.2985219955444,0,nan,False,,,0.3531303405761719,9.086234855651856
Latency阶段,52,added_benders_cut,78374,60,1331433.9397542991,-459274946.5718018,-459272052.0866423,2894.48515945673,0,nan,False,,,0.2913665771484375,9.28643490076065
Latency阶段,53,added_benders_cut,78374,61,1331433.9697477473,-459274946.5718018,-459271360.7028598,3585.868941962719,0,nan,False,,,0.3526268005371094,9.490315175056457
Latency阶段,54,added_benders_cut,78374,62,1331434.0399080745,-459274946.5718018,-459272931.6427902,2014.9290115833282,0,nan,False,,,0.35666656494140625,9.69773192803065
Latency阶段,55,added_benders_cut,78374,63,1331434.0421057718,-459274946.5718018,-459274933.16382533,13.40797644853592,0,nan,False,,,0.3528175354003906,9.906866057713826
Latency阶段,56,added_benders_cut,78374,64,1331434.0423694649,-459274946.5718018,-459274922.9728687,23.59893310070038,0,nan,False,,,0.3570404052734375,10.118267965316772
Latency阶段,57,added_benders_cut,78374,65,1331434.0453067413,-459274946.5718018,-459274927.1116126,19.460189163684845,0,nan,False,,,0.3598060607910156,10.331282341480255
Latency阶段,58,added_benders_cut,78374,66,1331434.0455495878,-459274946.5718018,-459274924.5041569,22.067644894123077,0,nan,False,,,0.35913848876953125,10.549584197998048
Latency阶段,59,added_benders_cut,78374,67,1331434.0461866967,-459274946.5718018,-459274911.65528727,34.91651451587677,0,nan,False,,,0.3575248718261719,10.768203739325205
Latency阶段,60,added_benders_cut,78374,68,1331434.0462309201,-459274946.5718018,-459274912.1033377,34.46846407651901,0,nan,False,,,0.3575477600097656,10.989112917582194
Latency阶段,61,added_benders_cut,78374,69,1331434.0466955146,-459274946.5718018,-459274923.61804336,22.953758418560028,0,nan,False,,,0.23205184936523438,0.3203818122545878
Latency阶段,62,added_benders_cut,78374,70,1331434.0472992915,-459274946.5718018,-459274926.28559214,20.286209642887115,0,nan,False,,,0.23405075073242188,0.620906126499176
Latency阶段,63,added_benders_cut,78374,71,1331434.0478447678,-459274946.5718018,-459274926.64643055,19.92537122964859,0,nan,False,,,0.23912811279296875,0.8615127603212992
Latency阶段,64,added_benders_cut,78374,72,1331434.0479705536,-459274946.5718018,-459274928.0940551,18.477746665477753,0,nan,False,,,0.24329376220703125,1.1026909112930299
Latency阶段,65,added_benders_cut,78374,73,1331434.0488375877,-459274946.5718018,-459274909.7675456,36.804256200790405,0,nan,False,,,0.24903106689453125,1.36225137313207
Latency阶段,66,added_benders_cut,78374,74,1331434.0498211957,-459274946.5718018,-459274915.4422347,31.129567086696625,0,nan,False,,,0.2517547607421875,1.6748562057813008
Latency阶段,67,added_benders_cut,78374,75,1331434.049922049,-459274946.5718018,-459274926.44429564,20.127506136894226,0,nan,False,,,0.25373077392578125,1.9615803519884745
Latency阶段,68,added_benders_cut,78374,76,1331434.0501396074,-459274946.5718018,-459274932.1259356,14.445866167545319,0,nan,False,,,0.2558135986328125,2.2602088888486227
Latency阶段,69,added_benders_cut,78374,77,1331434.0505520715,-459274946.5718018,-459274926.9565442,19.615257561206818,0,nan,False,,,0.255584716796875,2.5763134717941285
Latency阶段,70,added_benders_cut,78374,78,1331434.0510189647,-459274946.5718018,-459274929.76217777,16.809624016284943,0,nan,False,,,0.2576713562011719,2.8895901362101237
Latency阶段,71,added_benders_cut,78374,79,1331434.0514687656,-459274946.5718018,-459274933.3344653,13.237336456775665,0,nan,False,,,0.2980232238769531,3.205458958943685
Latency阶段,72,added_benders_cut,78374,80,1331434.0515181455,-459274946.5718018,-459274934.12950593,12.442295849323273,0,nan,False,,,0.2959785461425781,3.5296388030052186
Latency阶段,73,added_benders_cut,78374,81,1331434.0515620608,-459274946.5718018,-459274933.2287733,13.343028485774994,0,nan,False,,,0.29937744140625,3.8592392206192017
Latency阶段,74,added_benders_cut,78374,82,1331434.0518880591,-459274946.5718018,-459274940.66147536,5.910326421260834,0,nan,False,,,0.30783843994140625,4.189443329970042
Latency阶段,75,added_benders_cut,78374,83,1331434.0519933205,-459274946.5718018,-459274932.9223662,13.649435579776764,0,nan,False,,,0.3094139099121094,4.480250879128774
Latency阶段,76,added_benders_cut,78374,84,1331434.0521582644,-459274946.5718018,-459274935.1521217,11.419680058956146,0,nan,False,,,0.3118934631347656,4.748000987370809
Latency阶段,77,added_benders_cut,78374,85,1331434.052453482,-459274946.5718018,-459274936.64380145,9.928000330924988,0,nan,False,,,0.2695503234863281,5.019310096899669
Latency阶段,78,added_benders_cut,78374,86,1331434.052827862,-459274946.5718018,-459274936.6960894,9.875712394714355,0,nan,False,,,0.3056678771972656,5.294130420684814
Latency阶段,79,added_benders_cut,78374,87,1331434.0528544702,-459274946.5718018,-459274939.78975904,6.782042741775513,0,nan,False,,,0.3132781982421875,5.570035513242086
Latency阶段,80,added_benders_cut,78374,88,1331434.053026223,-459274946.5718018,-459274944.06095856,2.5108432173728943,0,nan,False,,,0.31906890869140625,5.850191442171733
Latency阶段,81,added_benders_cut,78374,89,1331434.0531349983,-459274946.5718018,-459274939.282781,7.289020776748657,0,nan,False,,,0.31896209716796875,6.133131186167399
Latency阶段,82,added_benders_cut,78374,90,1331434.0531490813,-459274946.5718018,-459274941.34964764,5.222154140472412,0,nan,False,,,0.2753486633300781,6.417401731014252
Latency阶段,83,added_benders_cut,78374,91,1331434.0531729846,-459274946.5718018,-459274941.2243848,5.347416996955872,0,nan,False,,,0.32236480712890625,6.7052489201227825
Latency阶段,84,added_benders_cut,78374,92,1331434.0532620992,-459274946.5718018,-459274940.27184606,6.299955725669861,0,nan,False,,,0.32796478271484375,6.995757222175598
Latency阶段,85,added_benders_cut,78374,93,1331434.0532966815,-459274946.5718018,-459274942.8564932,3.7153086066246033,0,nan,False,,,0.3273658752441406,7.287877015272776
Latency阶段,86,added_benders_cut,78374,94,1331434.0533137422,-459274946.5718018,-459274943.1251142,3.4466875791549683,0,nan,False,,,0.3337211608886719,7.582039248943329
Latency阶段,87,added_benders_cut,78374,95,1331434.0534565065,-459274946.5718018,-459274946.22889787,0.34290391206741333,0,nan,False,,,0.3279762268066406,7.879404580593109
Latency阶段,88,added_benders_cut,78374,96,1331434.0534709913,-459274946.5718018,-459274945.83201915,0.7397826313972473,0,nan,False,,,0.3297462463378906,8.180955310662588
Latency阶段,89,added_columns,135889,96,1331434.0534894918,-459274946.5718018,-459274946.57180184,-5.960464477539063e-08,57515,-1400.3317307692314,False,,,0.2819709777832031,8.684543251991272
Latency阶段,90,added_benders_cut,135889,97,253631.89926285497,-459274946.5718018,-458563566.6683697,711379.9034320712,0,nan,False,,,0.334075927734375,9.210207839806875
Latency阶段,91,added_benders_cut,135889,98,253804.68800193258,-459274946.5718018,-458815283.3619151,459663.2098866701,0,nan,False,,,0.3439216613769531,9.835809842745464
Latency阶段,92,added_benders_cut,135889,99,253894.61071454463,-459274946.5718018,-458816124.77076685,458821.80103492737,0,nan,False,,,0.3457298278808594,10.423662650585175
Latency阶段,93,added_benders_cut,135889,100,253941.43347280414,-459274946.5718018,-458987802.8161579,287143.7556439042,0,nan,False,,,0.3497123718261719,11.011639575163523
Latency阶段,94,added_benders_cut,135889,101,253971.3799914161,-459274946.5718018,-458995207.47963434,279739.0921674371,0,nan,False,,,0.3549041748046875,11.689237308502197
Latency阶段,95,added_benders_cut,135889,102,253984.72684601726,-459274946.5718018,-459029036.7288275,245909.84297430515,0,nan,False,,,0.3636436462402344,12.397466131051381
Latency阶段,96,added_benders_cut,135889,103,253991.5198391417,-459274946.5718018,-459047052.21740305,227894.35439872742,0,nan,False,,,0.3607063293457031,12.951675029595693
Latency阶段,97,added_benders_cut,135889,104,254001.1385482109,-459274946.5718018,-459040340.13758296,234606.4342188239,0,nan,False,,,0.3517875671386719,13.507822795708973
Latency阶段,98,added_benders_cut,135889,105,254006.0273277759,-459274946.5718018,-459017756.64124835,257189.93055343628,0,nan,False,,,0.3638954162597656,14.070107618967691
Latency阶段,99,added_benders_cut,135889,106,254009.307872686,-459274946.5718018,-459064314.4756769,210632.09612488747,0,nan,False,,,0.3626861572265625,14.635661002000173
Latency阶段,100,added_benders_cut,135889,107,254012.15310248843,-459274946.5718018,-459068308.2093875,206638.36241430044,0,nan,False,,,0.36566162109375,15.204172499974568
Latency阶段,101,added_benders_cut,135889,108,254016.39035916558,-459274946.5718018,-459061350.34206575,213596.2297360301,0,nan,False,,,0.3612098693847656,15.77670721610387
Latency阶段,102,added_benders_cut,135889,109,254020.32365102388,-459274946.5718018,-459135966.73388946,138979.8379123211,0,nan,False,,,0.3599853515625,16.35539071559906
Latency阶段,103,added_benders_cut,135889,110,254021.23836305313,-459274946.5718018,-459076221.47477514,198725.09702664614,0,nan,False,,,0.36498260498046875,16.94014039436976
Latency阶段,104,added_benders_cut,135889,111,254021.78743097268,-459274946.5718018,-459121488.96799904,153457.60380274057,0,nan,False,,,0.36733245849609375,17.526376144091287
Latency阶段,105,added_benders_cut,135889,112,254022.49594739254,-459274946.5718018,-459139430.3522135,135516.21958827972,0,nan,False,,,0.365814208984375,18.121737134456634
Latency阶段,106,added_benders_cut,135889,113,254022.89017820265,-459274946.5718018,-459131900.8317763,143045.74002546072,0,nan,False,,,0.3651580810546875,18.72222249507904
Latency阶段,107,added_benders_cut,135889,114,254023.46432571686,-459274946.5718018,-459127246.5414422,147700.0303595662,0,nan,False,,,0.3620338439941406,19.3299454053243
Latency阶段,108,added_benders_cut,135889,115,254024.35015483736,-459274946.5718018,-459127652.57121116,147294.00059062243,0,nan,False,,,0.3041572570800781,19.939943488438924
Latency阶段,109,added_benders_cut,135889,116,254024.87740784837,-459274946.5718018,-459165763.0453705,109183.5264312625,0,nan,False,,,0.3680877685546875,20.553820637861886
Latency阶段,110,added_benders_cut,135889,117,254025.15722740188,-459274946.5718018,-459163840.0629484,111106.50885337591,0,nan,False,,,0.366607666015625,21.174076970418295
Latency阶段,111,added_benders_cut,135889,118,254026.18770280344,-459274946.5718018,-459128667.34098405,146279.2308177352,0,nan,False,,,0.3677253723144531,21.892240953445434
Latency阶段,112,added_benders_cut,135889,119,254027.1609947679,-459274946.5718018,-459117482.33260953,157464.2391922474,0,nan,False,,,0.36810302734375,22.693718190987905
Latency阶段,113,added_benders_cut,135889,120,254029.16612576524,-459274946.5718018,-459132978.04079515,141968.53100663424,0,nan,False,,,0.3696784973144531,23.49526335398356
Latency阶段,114,added_benders_cut,135889,121,254029.86057965725,-459274946.5718018,-459152367.6960541,122578.87574768066,0,nan,False,,,0.3704948425292969,24.32558041016261
Latency阶段,115,added_benders_cut,135889,122,254030.64108588343,-459274946.5718018,-459178288.46460193,96658.1071998477,0,nan,False,,,0.3716278076171875,25.177024364471436
Latency阶段,116,added_benders_cut,135889,123,254031.21661143118,-459274946.5718018,-459175151.89166623,99794.68013554811,0,nan,False,,,0.3682403564453125,26.009829084078472
Latency阶段,117,added_benders_cut,135889,124,254031.72206424133,-459274946.5718018,-459199808.6192255,75137.95257627964,0,nan,False,,,0.3678779602050781,26.850220306714377
Latency阶段,118,added_benders_cut,135889,125,254031.9482749809,-459274946.5718018,-459178607.5336977,96339.03810405731,0,nan,False,,,0.30832672119140625,27.692476924260458
