X_时间（h）,Y_设施负荷（MW）,Y_电网购电功率（MW）,Y_弃电功率（MW）,Y_新能源利用功率（MW）
366,3285.22532709,1941.3486466666666,3736.12332,1343.87668
367,3263.9203833,1930.5449833333332,4119.4046,1333.3754
368,3145.025567516667,1882.8843766666669,4476.71881,1262.14119
369,2990.5848857633337,1701.9318533333335,4630.026966666666,1288.6530333333335
370,2742.3857699733335,1590.1277366666668,4827.7419666666665,1152.2580333333333
371,2476.74866801,1422.6928666666668,4864.6242,1054.0558
372,2425.9922384600004,1344.8768866666667,4657.7446,1081.1154
373,2304.3971557933332,1272.9650466666667,4421.34795,1031.43205
374,2290.4666942599997,1312.0572933333333,4101.59055,978.4094499999999
375,2089.0445138066666,1211.8013133333332,3768.6568,877.2432
376,2011.02295615,1126.0987733333334,3295.0758166666665,884.9241833333333
377,2404.011689593334,624.22161,2502.41822,1211.6817800000003
378,2379.5778366699997,626.46126,2101.626523333334,1178.3734766666664
379,2346.0307833200004,664.1054800000001,1792.5511966666666,1114.6688033333335
380,2223.11079336,661.1055,1715.9961066666665,956.5280933333335
381,2187.57151586,781.2408266666666,1570.3292099999999,952.38609
382,2079.59590289,1182.7051366666667,1325.9152333333334,896.8907666666667
383,2222.5729150766665,1244.2125033333332,1322.80049,978.36031
384,2534.4085800366665,1679.74708,1407.5877,1084.1615
385,2764.965840516667,1859.31444,1596.694,1135.1514
386,2996.06307287,1984.3874233333331,1992.7766500000002,1211.39755
387,3122.90707671,2072.9690266666667,2305.83925,1229.93815
388,3197.2469745999997,2098.76852,2705.486446666667,1278.4784533333332
389,3217.1203562533337,2012.453273333333,3373.1019166666665,1264.6670833333333
390,3219.9410544666666,1947.5387133333334,3807.597656666667,1272.4023433333334
391,3204.9841267,1889.9322466666665,4137.72812,1315.05188
392,3201.9821575433334,1863.2560133333332,4400.133856666666,1338.7261433333333
393,3096.5592278233335,1801.11744,4623.2382099999995,1295.4417900000003
394,2965.139479993333,1683.0351666666666,4697.895686666667,1282.1043133333333
395,2855.19835909,1605.0167700000002,4668.49841,1250.1815900000001
396,2819.2715679466664,1561.7491266666666,4481.33759,1257.52241
397,2664.6921391133333,1506.5405066666665,4294.6284866666665,1158.1515133333332
398,2570.0092633233335,1408.2418,3918.232376666667,1161.7676233333332
399,2364.8980699766666,1284.6580033333332,3565.6598933333335,1080.2401066666666
400,2095.4770955433332,1122.72565,3207.248506666667,972.7514933333333
401,2273.0427541833333,634.23104,2641.615386666667,1072.4846133333333
402,2239.6383037733335,660.29975,2253.7692466666663,1026.2307533333335
403,2241.6569595433334,666.66764,1900.9299800000001,1006.2900199999999
404,2175.5301546600003,670.5485000000001,1710.5756466666667,936.6352533333335
405,2082.8560995433336,765.6717366666667,1694.6959366666667,850.4666633333334
406,2236.690857966667,1299.9817466666664,1312.35549,936.7091100000001
407,2538.0726999733333,1537.9700499999997,1327.32625,1000.1026499999999
408,2629.37155576,1777.5005133333332,1392.1494566666668,1081.3709433333331
409,2831.6255899766666,1918.8039833333332,1566.5779933333333,1142.3216066666669
410,3181.317762926667,2110.02953,1933.2635666666665,1271.2162333333335
411,3279.965196726667,2156.8641766666665,2247.53098,1303.10102
412,3390.7521541866668,2220.6414066666666,2640.7931533333335,1350.1107466666667
413,3357.3009137733334,2092.38578,3334.1751666666664,1311.7248333333334
414,3158.2829537733332,1921.0743066666666,3842.7913533333335,1237.2086466666667
415,3194.2048662400002,1916.4925666666668,4175.0677,1277.7123
416,3125.4934113033332,1877.4006600000002,4490.76725,1248.09275
417,3028.2036099666666,1789.6673433333335,4680.143733333333,1238.5362666666667
418,3043.4762899933335,1792.9944400000002,4729.51815,1250.4818500000001
419,2832.2584220166664,1645.5315466666666,4731.953123333334,1186.7268766666666
420,2798.341690026667,1556.0075399999998,4496.52585,1242.3341500000001
421,2566.68320664,1448.1829766666667,4334.2797900000005,1118.50021
422,2362.1114591299997,1309.0545466666665,4026.9430666666667,1053.0569333333333
423,2066.40665709,1105.5646766666666,3685.05804,960.84196
424,1792.0268966466665,967.2166466666667,3355.1898,824.8101999999999
425,2138.6591515833334,617.6034999999999,2727.4293466666663,986.6706533333333
426,2218.259177106667,652.9533,2293.7315233333334,986.2684766666667
427,2255.4869057866667,642.68935,1870.4946433333332,1036.7253566666668
428,2231.588107543333,637.6762,1667.3068933333334,1000.5032066666666
429,2132.5041429133335,766.4279666666665,1603.8716233333334,913.1301766666666
430,2331.16046002,1326.5936733333333,1257.6698133333334,1004.5667866666665
431,2448.7825666333333,1397.2555200000002,1265.9257533333334,1051.5270466666666
432,2789.296212423333,1863.03013,1346.1140166666669,1155.765983333333
433,3071.503453293333,2137.157293333333,1546.6266400000004,1163.8461599999996
434,3153.1988270833335,2140.7775933333332,1961.6168666666665,1212.1884333333335
435,3268.3624424500003,2163.26418,2250.3451366666663,1285.0982633333338
436,3381.0745399733332,2214.6908399999998,2619.7153,1346.3837000000003
437,3364.1059858066665,2062.7137866666667,3317.6519,1328.2481000000002
438,3351.981192816667,2051.6086766666667,3779.627483333333,1300.3725166666668
439,3274.2908571233334,1995.7854033333333,4174.2745466666665,1278.5054533333332
440,3108.4867979933333,1886.3680366666665,4516.74124,1222.11876
441,2946.8735228733335,1748.5846933333332,4720.39117,1198.28883
442,2779.12221244,1639.5034133333334,4840.3812,1139.6188000000002
443,2594.61921422,1545.5324633333332,4869.59325,1049.08675
444,2487.6374338,1428.7942333333333,4680.0168,1058.8432
445,2275.7199051266666,1242.9000933333334,4419.9601999999995,1032.8198
446,2173.06392043,1191.94476,4098.8807,981.1192000000001
447,1984.2542170466666,1085.5160266666667,3747.1617,898.7383000000001
448,1985.3180491500002,1057.8956833333334,3252.5776333333333,927.4223666666669
449,2058.431706216667,540.73614,2754.749933333333,959.3500666666669
